[2 0]
[0 2]
alpha[1], 1
alpha[2], 1


[ 2 -1]
[-1  2]
alpha[1], 1
alpha[0] + alpha[1], 1
alpha[0], 1


[ 2 -2]
[-2  2]
13*alpha[0] + 12*alpha[1], 1
4*alpha[0] + 3*alpha[1], 1
8*alpha[0] + 9*alpha[1], 1
6*alpha[0] + 5*alpha[1], 1
9*alpha[0] + 9*alpha[1], 1
alpha[1], 1
3*alpha[0] + 2*alpha[1], 1
4*alpha[0] + 4*alpha[1], 1
9*alpha[0] + 10*alpha[1], 1
8*alpha[0] + 7*alpha[1], 1
5*alpha[0] + 5*alpha[1], 1
4*alpha[0] + 5*alpha[1], 1
12*alpha[0] + 11*alpha[1], 1
5*alpha[0] + 6*alpha[1], 1
11*alpha[0] + 12*alpha[1], 1
2*alpha[0] + alpha[1], 1
6*alpha[0] + 7*alpha[1], 1
alpha[0] + 2*alpha[1], 1
alpha[0] + alpha[1], 1
3*alpha[0] + 4*alpha[1], 1
2*alpha[0] + 2*alpha[1], 1
6*alpha[0] + 6*alpha[1], 1
11*alpha[0] + 10*alpha[1], 1
12*alpha[0] + 13*alpha[1], 1
11*alpha[0] + 11*alpha[1], 1
5*alpha[0] + 4*alpha[1], 1
9*alpha[0] + 8*alpha[1], 1
3*alpha[0] + 3*alpha[1], 1
10*alpha[0] + 9*alpha[1], 1
8*alpha[0] + 8*alpha[1], 1
12*alpha[0] + 12*alpha[1], 1
alpha[0], 1
7*alpha[0] + 6*alpha[1], 1
10*alpha[0] + 11*alpha[1], 1
7*alpha[0] + 8*alpha[1], 1
7*alpha[0] + 7*alpha[1], 1
10*alpha[0] + 10*alpha[1], 1
2*alpha[0] + 3*alpha[1], 1


[ 2 -3]
[-3  2]
16*alpha[0] + 7*alpha[1], 27
13*alpha[0] + 12*alpha[1], 30865
4*alpha[0] + 3*alpha[1], 4
9*alpha[0] + 14*alpha[1], 2407
16*alpha[0] + 8*alpha[1], 288
8*alpha[0] + 9*alpha[1], 449
9*alpha[0] + 6*alpha[1], 80
6*alpha[0] + 5*alpha[1], 23
11*alpha[0] + 6*alpha[1], 60
6*alpha[0] + 14*alpha[1], 9
15*alpha[0] + 6*alpha[1], 3
7*alpha[0] + 16*alpha[1], 27
13*alpha[0] + 7*alpha[1], 162
12*alpha[0] + 6*alpha[1], 39
13*alpha[0] + 10*alpha[1], 6555
4*alpha[0] + 7*alpha[1], 9
6*alpha[0] + 3*alpha[1], 3
