[2 0]
[0 2]
   alpha[1], 1
   alpha[2], 1


[2 0]
[0 2]
   alpha[1], 1
   alpha[2], 1


[ 2 -1]
[-1  2]
   alpha[0] + alpha[1], 1
   alpha[1], 1
   alpha[0], 1


[ 2 -2]
[-2  2]
   5*alpha[0] + 5*alpha[1], 1
   4*alpha[0] + 3*alpha[1], 1
   5*alpha[0] + 4*alpha[1], 1
   alpha[0] + 2*alpha[1], 1
   alpha[0] + alpha[1], 1
   4*alpha[0] + 5*alpha[1], 1
   3*alpha[0] + 3*alpha[1], 1
   3*alpha[0] + 4*alpha[1], 1
   2*alpha[0] + alpha[1], 1
   alpha[1], 1
   3*alpha[0] + 2*alpha[1], 1
   alpha[0], 1
   7*alpha[0] + 6*alpha[1], 1
   5*alpha[0] + 6*alpha[1], 1
   4*alpha[0] + 4*alpha[1], 1
   2*alpha[0] + 2*alpha[1], 1
   6*alpha[0] + 7*alpha[1], 1
   7*alpha[0] + 8*alpha[1], 1
   6*alpha[0] + 6*alpha[1], 1
   6*alpha[0] + 5*alpha[1], 1
   7*alpha[0] + 7*alpha[1], 1
   2*alpha[0] + 3*alpha[1], 1
   8*alpha[0] + 7*alpha[1], 1


[ 2 -3]
[-3  2]
   5*alpha[0] + 5*alpha[1], 16
   9*alpha[0] + 4*alpha[1], 4
   4*alpha[0] + 3*alpha[1], 4
   5*alpha[0] + 7*alpha[1], 27
   5*alpha[0] + 4*alpha[1], 9
   alpha[0] + 2*alpha[1], 1
   4*alpha[0] + 10*alpha[1], 1
   8*alpha[0] + 3*alpha[1], 1
   6*alpha[0] + 4*alpha[1], 9
   alpha[0] + alpha[1], 1
   4*alpha[0] + 5*alpha[1], 9
   9*alpha[0] + 6*alpha[1], 80
   3*alpha[0] + 3*alpha[1], 3
   2*alpha[0] + 5*alpha[1], 1
   3*alpha[0] + 4*alpha[1], 4
   6*alpha[0] + 9*alpha[1], 80
   9*alpha[0] + 5*alpha[1], 23
   5*alpha[0] + 10*alpha[1], 16
   4*alpha[0] + 6*alpha[1], 9
   10*alpha[0] + 5*alpha[1], 16
   4*alpha[0] + 7*alpha[1], 9
   5*alpha[0] + 3*alpha[1], 4
   3*alpha[0] + alpha[1], 1
   6*alpha[0] + 3*alpha[1], 3
   2*alpha[0] + alpha[1], 1
   3*alpha[0] + 8*alpha[1], 1
   alpha[1], 1
   3*alpha[0] + 7*alpha[1], 2
   2*alpha[0] + 4*alpha[1], 1
